Location,Population
"Mason County, MI","29,093"
"East Hampton town, NY","29,090"
"Southgate city, MI","29,081"
"Jones County, GA","29,047"
"Saugus town, MA","29,029"
"West Springfield Town city, MA","29,028"
"Monterey city, CA","29,015"
"Garfield Heights city, OH","29,014"
"Ramsey city, MN","28,999"
"Neshoba County, MS","28,973"
"Sumter County, GA","28,972"
"Happy Valley city, OR","28,969"
"Carroll County, AR","28,968"
"Chili town, NY","28,926"
"Bergenfield borough, NJ","28,921"
"Alpena County, MI","28,903"
"Texarkana city, AR","28,897"
"Madison County, TN","28,894"
"Van Wert County, OH","28,887"
"Gallia County, OH","28,886"
"Glen Ellyn village, IL","28,872"
"Delhi township, OH","28,860"
"Parkersburg city, WV","28,834"
"McHenry city, IL","28,825"
"Mint Hill town, NC","28,825"
"Osolo township, IN","28,825"
"Gates town, NY","28,823"
"Williston city, ND","28,821"
"King George County, VA","28,816"
"Milton town, MA","28,811"
"Wells County, IN","28,798"
"Fayette County, OH","28,782"
"Montgomery County, KY","28,771"
"Eagle Pass city, TX","28,768"
"Kernersville town, NC","28,760"
"DE County Indi, na","28,759"
"Agawam Town city, MA","28,749"
"Fluvanna County, VA","28,746"
"New Milford town, CT","28,745"
"Saratoga Springs city, NY","28,741"
"Bernards township, NJ","28,718"
"Lake in the Hills village, IL","28,706"
"Shaker Heights city, OH","28,689"
"McCandless township, PA","28,684"
"Adams County, MS","28,674"
"Madison Heights city, MI","28,626"
"Cass County, TX","28,622"
"Frankfort city, KY","28,610"
"Delhi charter township, MI","28,609"
"Burbank city, IL","28,606"
"Sugar Hill city, GA","28,598"
"Danvers town, MA","28,590"
"Dinwiddie County, VA","28,576"
"Maple Valley city, WA","28,553"
"Tate County, MS","28,551"
"Palm Springs village, FL","28,548"
"Huntley village, IL","28,495"
"Batavia township, OH","28,482"
"New Lenox village, IL","28,480"
"Logan County, KY","28,467"
"Lincoln County, WI","28,461"
"Pearl city, MS","28,458"
"Branford town, CT","28,448"
"Slidell city, LA","28,440"
"Stoddard County, MO","28,438"
"West Baton Rouge Parish, LA","28,425"
"Byron township, MI","28,406"
"Garrett County, MD","28,393"
"Ridgecrest city, CA","28,373"
"Marion County, SC","28,368"
"Union County, MS","28,363"
"Upson County, GA","28,358"
"Jasper County, MO","28,345"
"WA County Indi, na","28,345"
"Port Huron city, MI","28,342"
"Lassen County, CA","28,340"
"Carrollton city, GA","28,306"
"Glenn County, CA","28,304"
"Wappinger town, NY","28,228"
"Goochland County, VA","28,223"
"Marion city, IN","28,216"
"Madison city, MS","28,210"
"Neptune township, NJ","28,210"
"Union City city, GA","28,195"
"Fremont city, NE","28,190"
"Farmington town, CT","28,189"
"Brawley city, CA","28,188"
"Mount Pleasant village, WI","28,184"
"Henderson County, TN","28,183"
"Newburgh city, NY","28,181"
"Gillespie County, TX","28,159"
"Lake Jackson city, TX","28,158"
"Lansing village, IL","28,107"
"Wythe County, VA","28,100"
"Glen Cove city, NY","28,088"
"New London city, CT","28,081"
"New London town, CT","28,081"
"Simpsonville city, SC","28,078"
"Bradford County, FL","28,075"
"Hancock County, WV","28,054"
"Hart County, GA","28,052"
"Foley city, AL","28,043"
"Tualatin city, OR","28,036"
"Newtown town, CT","28,029"
"Prior Lake city, MN","28,018"
"Garden City city, KS","27,996"
"Mansfield town, CT","27,996"
"Westport town, CT","27,996"
"Danville city, IL","27,981"
"Monroeville municipality, PA","27,966"
"East Haven town, CT","27,953"
"Genoa township, OH","27,949"
"Antioch township, IL","27,946"
"North Kingstown town, RI","27,938"
"Asheboro city, NC","27,928"
"Aberdeen city, SD","27,919"
"Homewood city, AL","27,919"
"Wilsonville city, OR","27,895"
"Marshalltown city, IA","27,886"
"Jenks city, OK","27,869"
"Bristol city, TN","27,867"
"Lemon Grove city, CA","27,867"
"New Windsor town, NY","27,853"
"Millville city, NJ","27,838"
"Tumwater city, WA","27,826"
"Winchester city, VA","27,800"
"Henderson city, KY","27,750"
"Katy city, TX","27,741"
"Horsham township, PA","27,735"
"Woodford County, KY","27,728"
"Orleans County, VT","27,726"
"Bridgeton city, NJ","27,722"
"Kent city, OH","27,720"
"Jackson County, WV","27,718"
"Springettsbury township, PA","27,711"
"Jamestown city, NY","27,699"
"Adams County, OH","27,671"
"MD Heights city Misso, ri","27,671"
"MD Heights city, MO","27,671"
"Scott County, MS","27,666"
"Dodge City city, KS","27,663"
"Payette County, ID","27,662"
"Jennings County, IN","27,634"
"Williamsport city, PA","27,628"
"Hardin County, TN","27,617"
"Elk River city, MN","27,606"
"Thomasville city, NC","27,605"
"Allen Park city, MI","27,604"
"Union County, GA","27,601"
"Temple Terrace city, FL","27,588"
"Gladstone city, MO","27,579"
"Dillon County, SC","27,577"
"Mille Lacs County, MN","27,577"
"Cabot city, AR","27,575"
"Grant County, NM","27,541"
"Copiah County, MS","27,536"
"Henry County, OH","27,536"
"Kankakee County, IL","27,530"
"Neenah city, WI","27,502"
"Stephens County, GA","27,498"
"Cass County, NE","27,492"
"Upper Dublin township, PA","27,489"
"Toombs County, GA","27,488"
"Green city, OH","27,476"
"Fate city, TX","27,467"
"Wilmette village, IL","27,443"
"Belmont town, MA","27,442"
"Randall County, TX","27,440"
"Hocking County, OH","27,429"
"Hamtramck city, MI","27,424"
"Wasco city, CA","27,409"
"Wethersfield town, CT","27,372"
"Crook County, OR","27,336"
"Pemberton township, NJ","27,333"
"Camas city, WA","27,313"
"Balch Springs city, TX","27,307"
"De Soto Parish, LA","27,274"
"Ashe County, NC","27,266"
"Tillamook County, OR","27,264"
"Geneva County, AL","27,259"
"Walnut city, CA","27,250"
"East Hempfield township, PA","27,247"
"New Kent County, VA","27,218"
"Plymouth charter township, MI","27,191"
"Randolph County, WV","27,190"
"Macon County, TN","27,189"
"Lindenhurst village, NY","27,160"
"Newberg city, OR","27,136"
"Belmont city, CA","27,132"
"Butts County, GA","27,127"
"Troy city, OH","27,122"
"Shaler township, PA","27,109"
"Londonderry town, NH","27,101"
"Round Lake Beach village, IL","27,091"
"Sebastian city, FL","27,087"
"Trussville city, AL","27,079"
"Forest Grove city, OR","27,076"
"Grayson County, KY","27,070"
"Yukon city, OK","27,068"
"Pike County, OH","27,065"
"South Windsor town, CT","27,062"
"Lemoore city, CA","27,057"
"Greenville city, MS","27,015"
"Oceana County, MI","27,014"
"Del Norte County, CA","27,009"
"Vernon Hills village, IL","27,002"
"Easley city, SC","27,001"
"South Portland city, ME","26,994"
"Wooster city, OH","26,982"
"Burlington town, MA","26,977"
"Moses Lake city, WA","26,969"
"MI township Indi, na","26,966"
"Mason City city, IA","26,948"
"Allendale charter township, MI","26,941"
"Shoreview city, MN","26,939"
"Lockport city, IL","26,915"
"Ossining village, NY","26,895"
"Moscow city, ID","26,894"
"Rockaway township, NJ","26,893"
"Pottawatomie County, KS","26,876"
"Granite City city, IL","26,854"
"New Iberia city, LA","26,849"
"Pigeon township, IN","26,848"
"Montezuma County, CO","26,841"
"Oak Forest city, IL","26,813"
"Taylor County, KY","26,809"
"Hinds County, MS","26,806"
"Oxford city, MS","26,801"
"Paramus borough, NJ","26,786"
"Randolph township, NJ","26,780"
"Mineral County, WV","26,778"
"Moon township, PA","26,753"
"Perry County, KY","26,739"
"Bethlehem township, PA","26,723"
"Wall township, NJ","26,722"
"Edwardsville city, IL","26,715"
"Paducah city, KY","26,712"
"Ridgewood village, NJ","26,701"
"Austin city, MN","26,690"
"Cibola County, NM","26,686"
"Union County, SC","26,678"
"O'Fallon township, IL","26,666"
"Sanger city, CA","26,649"
"Grandview city, MO","26,630"
"Owatonna city, MN","26,626"
"Superior city, WI","26,620"
"Clinton city, MS","26,617"
"Derby city, KS","26,604"
"West Linn city, OR","26,597"
"Juneau County, WI","26,590"
"Galt city, CA","26,589"
"Horn Lake city, MS","26,574"
"Lyon charter township, MI","26,574"
"Lewis County, NY","26,570"
"Halfmoon town, NY","26,567"
"Twentynine Palms city, CA","26,563"
"South Salt Lake city, UT","26,561"
"Batavia city, IL","26,555"
"Chicago Heights city, IL","26,533"
"Sandoval County, NM","26,532"
"WA County Flor, da","26,503"
"Hercules city, CA","26,499"
"Benicia city, CA","26,477"
"Stevens Point city, WI","26,465"
"Carroll County, OH","26,460"
"Lebanon city, PA","26,456"
"Denison city, TX","26,446"
"San Miguel County, NM","26,428"
"Clay County, IN","26,424"
"Decatur County, IN","26,421"
"Plum borough, PA","26,420"
"Garden City city, MI","26,410"
"El Cerrito city, CA","26,409"
"North Augusta city, SC","26,395"
"Walpole town, MA","26,391"
"Royse City city, TX","26,387"
"Montgomery County, NC","26,364"
"Staunton city, VA","26,361"
"Lodi borough, NJ","26,358"
"Nixa city, MO","26,352"
"Soledad city, CA","26,345"
"Avon Lake city, OH","26,342"
"Fairfax city, VA","26,340"
"Centerville city, OH","26,311"
"Grady County, GA","26,271"
"Greenfield city, IN","26,268"
"Elmira city, NY","26,255"
"Geneva township, IL","26,255"
"Upper Moreland township, PA","26,253"
"Lamoille County, VT","26,248"
"Eau Claire County, WI","26,239"
"Melissa city, TX","26,194"
"Cliffside Park borough, NJ","26,183"
"Winona city, MN","26,173"
"Johnson County, AR","26,172"
"Tarpon Springs city, FL","26,168"
"Farmington city, UT","26,163"
"Norfolk city, NE","26,162"
"Milam County, TX","26,159"
"Franklin city, IN","26,158"
"Leflore County, MS","26,157"
"Garvin County, OK","26,149"
"Cherokee County, AL","26,138"
"Reedley city, CA","26,138"
"Lower Providence township, PA","26,136"
"Maplewood township, NJ","26,127"
"Saginaw city, TX","26,116"
"Charlevoix County, MI","26,105"
"McNairy County, TN","26,103"
"Carter County, KY","26,098"
"Otsego County, MI","26,083"
"Hardee County, FL","26,068"
"Xenia city, OH","26,067"
"Wheeling city, WV","26,060"
"Jerome County, ID","26,056"
"Auburn Hills city, MI","26,047"
"Fairhope city, AL","26,044"
"Marshfield town, MA","26,043"
"Reading town, MA","26,041"
"Churchill County, NV","26,033"
"Colleyville city, TX","26,012"
"Carteret borough, NJ","26,003"
"Dickinson County, MI","25,995"
"Gladwin County, MI","25,995"
"Yorkville city, IL","25,986"
"Cassia County, ID","25,976"
"Cheboygan County, MI","25,964"
"Auburn city, NY","25,963"
"Raymore city, MO","25,962"
"Todd County, MN","25,955"
"Walker city, MI","25,921"
"Salem city, VA","25,908"
"Woodstock city, IL","25,892"
"George County, MS","25,880"
"Barnegat township, NJ","25,871"
"Brandon city, MS","25,870"
"Belton city, MO","25,861"
"Hickman County, TN","25,859"
"Fannin County, GA","25,854"
"Windsor town, CA","25,846"
"Starkville city, MS","25,844"
"Gardner city, KS","25,836"
"Dinuba city, CA","25,833"
"Pickerington city, OH","25,814"
"Kendall County, IL","25,806"
"Mahwah township, NJ","25,806"
"Shelbyville city, TN","25,792"
"Hudson town, NH","25,787"
"Wyoming County, PA","25,771"
"East Chicago city, IN","25,768"
"Muskego city, WI","25,759"
"Medina city, OH","25,757"
"Peekskill city, NY","25,757"
"Chanhassen city, MN","25,746"
"Centerton city, AR","25,745"
"Medina City township, OH","25,739"
"Grant County, KY","25,722"
"Rockville Centre village, NY","25,718"
"Texas County, MO","25,715"
"Dickinson city, ND","25,695"
"Middletown town, DE","25,686"
"Miller County, MO","25,668"
"South Pasadena city, CA","25,656"
"Ottumwa city, IA","25,648"
"Cleburne County, AR","25,646"
"Belton city, TX","25,635"
"Riverbank city, CA","25,625"
"Simpson County, MS","25,597"
"Aransas County, TX","25,595"
"Corsicana city, TX","25,591"
"Avon city, OH","25,573"
"Easton town, MA","25,568"
"Imperial Beach city, CA","25,568"
"Jefferson County, OR","25,536"
"Manistee County, MI","25,519"
"Fernley city, NV","25,508"
"Blackman charter township, MI","25,499"
"Marlboro County, SC","25,498"
"Patterson city, CA","25,495"
"Prentiss County, MS","25,489"
"Fayette County, TX","25,488"
"Dedham town, MA","25,485"
"West Chicago city, IL","25,469"
"De Pere city, WI","25,453"
"Hardeman County, TN","25,434"
"Russell County, VA","25,420"
"Eureka city, CA","25,412"
"Palmetto Bay village, FL","25,402"
"Norco city, CA","25,400"
"Pelham city, AL","25,396"
"Lafayette city, CA","25,371"
"Iosco County, MI","25,361"
"Lexington town, SC","25,354"
"Simsbury town, CT","25,353"
"De Witt town, NY","25,345"
"Mequon city, WI","25,329"
"Belvidere city, IL","25,325"
"Perrysburg city, OH","25,313"
"Chattooga County, GA","25,306"
"Mercer Island city, WA","25,302"
"Ridgefield town, CT","25,300"
"Medford township, NJ","25,294"
"Raritan township, NJ","25,288"
"Camillus town, NY","25,285"
"University Park city, TX","25,268"
"Papillion city, NE","25,248"
"Farragut town, TN","25,242"
"Somerset County, MD","25,241"
"Caledonia village, WI","25,240"
"Key West city, FL","25,240"
"Scotch Plains township, NJ","25,223"
"Franklin County, GA","25,208"
"Yarmouth town, MA","25,208"
"Auburn city, ME","25,200"
"Mountlake Terrace city, WA","25,198"
"Loma Linda city, CA","25,197"
"Herndon town, VA","25,180"
"Canton town, MA","25,163"
"Hastings city, NE","25,152"
"Kerrville city, TX","25,141"
"Columbus city, NE","25,126"
"Inkster city, MI","25,108"
"Upper Providence township, PA","25,092"
"Cartersville city, GA","25,082"
"Bessemer city, AL","25,079"
"Waushara County, WI","25,079"
"Grainger County, TN","25,073"
"Norton Shores city, MI","25,070"
"Eustis city, FL","25,067"
"Posey County, IN","25,067"
"Ardmore city, OK","25,064"
"South Plainfield borough, NJ","25,062"
"Harlan County, KY","25,052"
"Paris city, TX","25,037"
"Yamhill County, OR","25,025"
"Westford town, MA","25,024"
"Johnston city, IA","25,022"
"West Milford township, NJ","24,990"
"Faribault city, MN","24,983"
"Alton city, IL","24,967"
"Alton township, IL","24,967"
"Hazelwood city, MO","24,951"
"Racine County, WI","24,938"
"Cass County, MO","24,927"
"South Elgin village, IL","24,921"
"Zanesville city, OH","24,916"
"Lincoln County, KY","24,910"
"Barstow city, CA","24,897"
"Florence town, AZ","24,891"
"Fort Dodge city, IA","24,886"
"Kingsville city, TX","24,884"
"Anderson County, KY","24,883"
"Teller County, CO","24,862"
"Homer Glen village, IL","24,852"
"Middleborough town, MA","24,847"
"North Haven town, CT","24,844"
"Greenbelt city, MD","24,843"
"White County, IN","24,833"
"Athens city, OH","24,824"
"Horizon City city, TX","24,802"
"Perry city, GA","24,792"
"Mandan city, ND","24,788"
"Rockford township, KS","24,782"
"Mason County, WV","24,770"
"Grand Chute town, WI","24,759"
"Ennis city, TX","24,753"
"Hurricane city, UT","24,753"
"Wadsworth city, OH","24,753"
"Scott County, IN","24,751"
"Avon town, IN","24,735"
"San Benito city, TX","24,712"
"Rowan County, KY","24,675"
"Payson city, UT","24,666"
"Harris township, IN","24,657"
"Pennington County, SD","24,653"
"Romulus city, MI","24,652"
"Lauderdale County, TN","24,630"
"Barberton city, OH","24,624"
"Bainbridge Island city, WA","24,618"
"West Haven city, UT","24,617"
"Abbeville County, SC","24,607"
"Groveland city, FL","24,602"
"Zion city, IL","24,583"
"Zion township, IL","24,583"
"Ridgeland city, MS","24,576"
"Plainsboro township, NJ","24,558"
"Brookings city, SD","24,555"
"Stoneham town, MA","24,550"
"Benbrook city, TX","24,542"
"Acton town, MA","24,539"
"Antrim County, MI","24,536"
"Cranford township, NJ","24,513"
"Selma city, CA","24,505"
"Granite City township, IL","24,488"
"Decatur city, GA","24,482"
"Newport city, RI","24,482"
"Upper Allen township, PA","24,474"
"Burke County, GA","24,472"
"Riverside city, OH","24,472"
"Morton Grove village, IL","24,467"
"Farmington city, MN","24,464"
"Montville township, NJ","24,456"
"Corinth city, TX","24,450"
"Marple township, PA","24,423"
"Seal Beach city, CA","24,421"
"Hingham town, MA","24,414"
"Van Buren city, AR","24,396"
"Burlington township, NJ","24,392"
"Yates County, NY","24,387"
"Emporia city, KS","24,354"
"Randolph County, IN","24,337"
"Edgewater city, FL","24,334"
"Glassboro borough, NJ","24,322"
"Westmont village, IL","24,308"
"Tattnall County, GA","24,275"
"Le Ray town, NY","24,274"
"Marshall city, TX","24,263"
"Montgomery township, NJ","24,254"
"St. John town, IN","24,250"
"Pacific County, WA","24,245"
"Ponca City city, OK","24,234"
"Wyandotte city, MI","24,214"
"Willoughby city, OH","24,208"
"Itawamba County, MS","24,198"
"Shelby County, TX","24,192"
"Sandusky city, OH","24,174"
"Kenmore city, WA","24,166"
"Oak Harbor city, WA","24,163"
"West Goshen township, PA","24,139"
"Klickitat County, WA","24,124"
"Clinton city, IA","24,118"
"Windham town, CT","24,105"
"Southold town, NY","24,083"
"Mansfield town, MA","24,077"
"Dover township, PA","24,064"
"Harrison charter township, MI","24,062"
"McDonald County, MO","24,054"
"Niskayuna town, NY","24,038"
"Watertown city, NY","24,038"
"Tazewell County, IL","24,033"
"Nicholas County, WV","24,017"
"Houston County, AL","24,010"
"Scarborough town, ME","24,010"
"Marion County, MS","24,008"
"Melrose Park village, IL","23,999"
"Searcy city, AR","23,997"
"Griffin city, GA","23,994"
"Oshtemo charter township, MI","23,979"
"Kankakee township, IL","23,974"
"Mustang city, OK","23,965"
"Iowa County, WI","23,963"
"Coralville city, IA","23,959"
"Winchester town, MA","23,953"
"Vilas County, WI","23,948"
"Ohio County, KY","23,933"
"Roscommon County, MI","23,932"
"Otsego city, MN","23,875"
"Solon city, OH","23,875"
"Winston County, AL","23,869"
"Bedford town, NH","23,856"
"Maywood city, CA","23,838"
"Wilmington town, MA","23,802"
"Roseburg city, OR","23,795"
"Hampshire County, WV","23,793"
"Morehouse Parish, LA","23,787"
"Collinsville city, IL","23,766"
"Hood River County, OR","23,764"
"Kingston city, NY","23,748"
"Rolling Meadows city, IL","23,732"
"Clinton city, UT","23,728"
"Morris township, NJ","23,727"
"Elmwood Park village, IL","23,698"
"Fountain Hills town, AZ","23,696"
"Page County, VA","23,686"
"Upshur County, WV","23,650"
"Burlington city, IA","23,637"
"Loves Park city, IL","23,636"
"Munster town, IN","23,634"
"Jacksonville Beach city, FL","23,630"
"Mesquite city, NV","23,599"
"North Salt Lake city, UT","23,593"
"WA County Misso, ri","23,583"
"Pottstown borough, PA","23,553"
"Overton County, TN","23,551"
"Lisle village, IL","23,548"
"Lampasas County, TX","23,539"
"West Memphis city, AR","23,538"
"Kankakee city, IL","23,535"
"Wareham town, MA","23,526"
"Webster Groves city, MO","23,525"
"Mercer County, KY","23,515"
"Lincoln town, RI","23,507"
"Waynesboro city, VA","23,498"
"Highland town, IN","23,497"
"Duarte city, CA","23,493"
"Watertown city, SD","23,492"
"Meeker County, MN","23,491"
"San Fernando city, CA","23,488"
"Osceola County, MI","23,484"
"DeBary city, FL","23,468"
"Starke County, IN","23,463"
"Hammond city, LA","23,426"
"Roxbury township, NJ","23,397"
"Juniata County, PA","23,395"
"Albertville city, AL","23,392"
"Putnam County, GA","23,383"
"Maywood village, IL","23,364"
"Seminole County, OK","23,351"
"Hialeah Gardens city, FL","23,328"
"Millbrae city, CA","23,321"
"Muscatine city, IA","23,298"
"Sapulpa city, OK","23,297"
"Westerly town, RI","23,288"
"Teton County, WY","23,272"
"Ozark city, MO","23,248"
"Emanuel County, GA","23,224"
"Oakdale city, CA","23,209"
"Ray County, MO","23,199"
"Waxhaw town, NC","23,178"
"Duncan city, OK","23,174"
"Lysander town, NY","23,171"
"Llano County, TX","23,163"
"Freeport city, IL","23,140"
"Freeport township, IL","23,140"
"Franklin County, IN","23,136"
"Watauga city, TX","23,120"
"Oxford charter township, MI","23,104"
"Summit city, NJ","23,102"
"Maple Heights city, OH","23,081"
"Hudson city, OH","23,073"
"Trotwood city, OH","23,073"
"North Plainfield borough, NJ","23,072"
"Randolph County, AL","23,067"
"Roselle borough, NJ","23,064"
"Suwanee city, GA","23,062"
"Bell County, KY","23,051"
"Menominee County, MI","23,050"
"Marina city, CA","23,047"
"Champlin city, MN","23,045"
"Chambersburg borough, PA","23,041"
"Keene city, NH","23,036"
"Central Falls city, RI","23,034"
"Yazoo County, MS","23,024"
"Panola County, TX","23,022"
"Garden City village, NY","22,993"
"Terrell city, TX","22,977"
"Hopewell city, VA","22,970"
"Rock Springs city, WY","22,967"
"Battle Ground city, WA","22,959"
"Fishkill town, NY","22,947"
"Portsmouth city, NH","22,938"
"Prairie Village city, KS","22,919"
"North Ogden city, UT","22,908"
"Alton city, TX","22,907"
"Sunny Isles Beach city, FL","22,903"
"Gaines County, TX","22,892"
"Vernon township, NJ","22,879"
"Leelanau County, MI","22,871"
"Roselle village, IL","22,871"
"Machesney Park village, IL","22,839"
"Bandera County, TX","22,830"
"Columbus city, MS","22,820"
"Crawford County, MO","22,808"
"Shelby city, NC","22,778"
"Curry County, OR","22,774"
"Lino Lakes city, MN","22,774"
"West Chester borough, PA","22,758"
"Millburn township, NJ","22,756"
"Shafter city, CA","22,754"
"Boerne city, TX","22,712"
"Secaucus town, NJ","22,710"
"Radcliff city, KY","22,706"
"Minidoka County, ID","22,691"
"Hillside township, NJ","22,690"
"Greenwood city, SC","22,667"
"West Deptford township, NJ","22,653"
"Westborough town, MA","22,643"
"Lyndhurst township, NJ","22,642"
"Christiansburg town, VA","22,632"
"Brunswick town, ME","22,631"
"Corcoran city, CA","22,627"
"Acworth city, GA","22,624"
"Bloomingdale village, IL","22,622"
"Kalamazoo charter township, MI","22,620"
"Palmer township, PA","22,606"
"Gregg County, TX","22,605"
"Altoona city, IA","22,598"
"Oxford city, OH","22,585"
"Middleton city, WI","22,566"
"Laguna Beach city, CA","22,564"
"North Platte city, NE","22,549"
"Big Spring city, TX","22,541"
"Smithfield town, RI","22,535"
"Darien town, CT","22,528"
"Seymour city, IN","22,524"
"Asotin County, WA","22,523"
"Onondaga town, NY","22,521"
"Carlisle borough, PA","22,517"
"Scott County, TN","22,517"
"Hastings city, MN","22,502"
"Allen Parish, LA","22,501"
"Sanford city, ME","22,497"
"Watertown town, CT","22,497"
"Clemmons village, NC","22,471"
"Muhlenberg township, PA","22,464"
"Monroe town, NY","22,459"
"La Porte city, IN","22,444"
"Anson County, NC","22,432"
"Morgan County, MO","22,399"
"Evans city, CO","22,394"
"New Brighton city, MN","22,374"
"Biddeford city, ME","22,370"
"Rockbridge County, VA","22,368"
"Caswell County, NC","22,363"
"Columbia Heights city, MN","22,358"
"Madison County, NC","22,352"
"Snellville city, GA","22,336"
"Ruston city, LA","22,330"
"Sedalia city, MO","22,310"
"Zephyrhills city, FL","22,304"
"Plaquemines Parish, LA","22,289"
"Prince Edward County, VA","22,276"
"Bryant city, AR","22,271"
"Guilford town, CT","22,264"
"Bibb County, AL","22,258"
"Calabasas city, CA","22,256"
"Carbondale city, IL","22,223"
"Helena city, AL","22,200"
"Birmingham city, MI","22,198"
"Bloomfield town, CT","22,198"
"Houston County, TX","22,197"
"Lincoln County, MT","22,184"
"Harrison town, NJ","22,182"
"Olmsted County, MN","22,178"
"Klamath Falls city, OR","22,174"
"Addison township, IN","22,169"
"Stephenville city, TX","22,147"
"Bonney Lake city, WA","22,145"
"Clarke County, AL","22,142"
"Grant Parish, LA","22,109"
"New Hartford town, NY","22,107"
"Imperial city, CA","22,102"
"Johnson County, KY","22,098"
"Oxford city, AL","22,088"
"Bartow city, FL","22,084"
"Crystal city, MN","22,082"
"Junction City city, KS","22,053"
"Hubbard County, MN","22,050"
"Clarksville town, IN","22,041"
"Allen County, KY","22,037"
"East Peoria city, IL","22,024"
"Bristol town, RI","22,023"
"Villa Park village, IL","22,020"
"Darien city, IL","22,015"
"Milton township, IL","22,010"
"Tavares city, FL","22,007"
"Lebanon city, OH","21,995"
"Hanahan city, SC","21,983"
"East Ridge city, TN","21,970"
"Howard village, WI","21,961"
"Arlington city, WA","21,959"
"Montgomery village, IL","21,957"
"Lynn Haven city, FL","21,954"
"Morgan County, TN","21,954"
"Dickinson city, TX","21,941"
"Morgan County, GA","21,940"
"West St. Paul city, MN","21,920"
"Lindenwold borough, NJ","21,919"
"North Liberty city, IA","21,904"
"Willmar city, MN","21,892"
"Montague County, TX","21,890"
"Moore County, TX","21,872"
"Yucca Valley town, CA","21,858"
"Gem County, ID","21,857"
"Owen County, IN","21,851"
"Marquette city, MI","21,845"
"Taylor County, FL","21,843"
"Knightdale town, NC","21,829"
"South Whitehall township, PA","21,818"
"Blue Island city, IL","21,805"
"Pleasant Prairie village, WI","21,802"
"Moorestown township, NJ","21,796"
"Lee County, VA","21,780"
"Chillicothe city, OH","21,769"
"McDuffie County, GA","21,764"
"DeKalb County, TN","21,747"
"Sabine Parish, LA","21,746"
"Greene County, VA","21,744"
"American Canyon city, CA","21,742"
"Frenchtown township, MI","21,732"
"South Burlington city, VT","21,713"
"Mingo County, WV","21,712"
"Lower township, NJ","21,705"
"Mountain Brook city, AL","21,701"
"Cudahy city, CA","21,694"
"St. Michael city, MN","21,681"
"Elmwood Park borough, NJ","21,680"
"Montrose city, CO","21,646"
"Tukwila city, WA","21,636"
"Johnson County, IA","21,628"
"Milwaukie city, OR","21,620"
"Little Egg Harbor township, NJ","21,587"
"Covington city, WA","21,567"
"Grand Island town, NY","21,565"
"Limerick township, PA","21,536"
"Jo Daviess County, IL","21,528"
"Alliance city, OH","21,523"
"Martin County, NC","21,523"
"Manor city, TX","21,500"
"Meigs County, OH","21,491"
"Bethel town, CT","21,490"
"East Pennsboro township, PA","21,490"
"Pascagoula city, MS","21,476"
"CO County Te, as","21,475"
"Rocky River city, OH","21,468"
"Silver Spring township, PA","21,465"
"Culpeper town, VA","21,464"
"Leake County, MS","21,462"
"Logan County, AR","21,457"
"Meriwether County, GA","21,439"
"Tippah County, MS","21,423"
"Conway County, AR","21,422"
"Republic city, MO","21,392"
"Scott County, VA","21,388"
"Westbrook city, ME","21,386"
"Gardner city, MA","21,381"
"Rocky Hill town, CT","21,373"
"South Euclid city, OH","21,363"
"Adams County, WI","21,352"
"Hyde Park town, NY","21,338"
"New Castle city, PA","21,332"
"Port Hueneme city, CA","21,325"
"Sweetwater city, FL","21,321"
"Northfield city, MN","21,316"
"Mineola village, NY","21,305"
"Mukilteo city, WA","21,299"
"Brooke County, WV","21,285"
"Unity township, PA","21,277"
"Seward County, KS","21,276"
"Del City city, OK","21,272"
"Golden Valley city, MN","21,263"
"Grayslake village, IL","21,262"
"WA County Nebra, ka","21,254"
"Somers town, NY","21,239"
"South Lake Tahoe city, CA","21,225"
"Breckinridge County, KY","21,221"
"Ithaca town, NY","21,214"
"Hays city, KS","21,213"
"Fort Walton Beach city, FL","21,188"
"Geneva city, IL","21,168"
"Frankfort village, IL","21,160"
"New Canaan town, CT","21,160"
"Fayette County, IL","21,157"
"Jersey County, IL","21,150"
"Highland city, UT","21,146"
"Anniston city, AL","21,127"
"Ludlow town, MA","21,118"
"Murphy city, TX","21,109"
"Greene County, GA","21,091"
"Mount Pleasant city, MI","21,090"
"Carrboro town, NC","21,079"
"Westchester township, IN","21,078"
"Ashland city, KY","21,066"
"Saco city, ME","21,064"
"Union County, TN","21,064"
"Newton County, MS","21,063"
"Dukes County, MA","21,061"
"Hyattsville city, MD","21,052"
"Greenfield city, CA","21,042"
"Arnold city, MO","21,036"
"Tullahoma city, TN","21,035"
"Germantown village, WI","21,032"
"Jackson County, WI","21,027"
"Park Forest village, IL","21,016"
"Lincoln County, WY","21,000"
"Ellensburg city, WA","20,996"
"East Moline city, IL","20,995"
"Mill Creek city, WA","20,993"
"Ogemaw County, MI","20,985"
"Angleton city, TX","20,979"
"Hamburg township, MI","20,953"
"Piqua city, OH","20,940"
"Ashland city, OR","20,935"
"Pleasantville city, NJ","20,924"
"Durant city, OK","20,908"
"West Whiteland township, PA","20,885"
"Lower Allen township, PA","20,873"
"Shelbyville city, IN","20,845"
"Spencer County, KY","20,823"
"Elko city, NV","20,822"
"Louisville city, CO","20,811"
"Duchesne County, UT","20,803"
"North Myrtle Beach city, SC","20,798"
"Kingsland city, GA","20,789"
"Smith County, TN","20,783"
