Location,Population
"CO Springs city, CO","493,554"
"Brookhaven town, NY","492,759"
"Omaha city, NE","489,265"
"Miami city, FL","487,014"
"Sonoma County, CA","485,375"
"Tulare County, CA","483,546"
"Oakland County, MI","482,038"
"Sarasota County, FL","476,604"
"Burlington County, NJ","475,515"
"Allegheny County, PA","475,192"
"York County, PA","471,240"
"Onondaga County, NY","469,812"
"Osceola County, FL","468,058"
"Hampden County, MA","464,151"
"Naugatuck Valley Planning Region, CT","462,220"
"Manatee County, FL","458,352"
"Solano County, CA","455,101"
"VA Beach city, VA","454,808"
"Dakota County, MN","453,156"
"East Baton Rouge Parish, LA","453,022"
"Long Beach city, CA","450,901"
"Santa Barbara County, CA","444,500"
"Lake County, FL","444,204"
"Oakland city, CA","443,554"
"Loudoun County, VA","443,380"
"Berks County, PA","439,117"
"Monterey County, CA","436,251"
"Placer County, CA","433,822"
"Bexar County, TX","431,378"
"Richland County, SC","430,651"
"Hillsborough County, NH","430,462"
"Marion County, FL","428,905"
"Minneapolis city, MN","428,579"
"Jefferson Parish, LA","427,253"
"Clackamas County, OR","425,857"
"Madison County, AL","423,355"
"Riverside County, CA","423,178"
"Bakersfield city, CA","417,468"
"Collier County, FL","416,233"
"Tulsa city, OK","415,154"
"Tampa city, FL","414,547"
"Horry County, SC","413,391"
"Brazoria County, TX","413,224"
"Mobile County, AL","412,339"
"Orange County, NY","411,767"
"Arlington city, TX","403,672"
"Aurora city, CO","403,130"
"Genesee County, MI","402,279"
"Wichita city, KS","400,991"
"Butler County, OH","399,542"
"Douglas County, CO","393,995"
"Mercer County, NJ","392,138"
"Chesterfield County, VA","389,793"
"Hamilton County, TN","386,256"
"Lehigh County, PA","385,655"
"Hamilton County, IN","379,704"
"Davis County, UT","378,470"
"Rutherford County, TN","376,996"
"Stark County, OH","374,091"
"Washtenaw County, MI","373,875"
"Pima County, AZ","372,918"
"Spartanburg County, SC","369,256"
"Cleveland city, OH","365,379"
"New Orleans city, LA","362,701"
"Orleans Parish, LA","362,701"
"Somerset County, NJ","357,467"
"Nueces County, TX","353,125"
"Westmoreland County, PA","350,935"
"Henderson city, NV","350,039"
"Rockland County, NY","348,144"
"Urban Honolulu CDP, HI","344,967"
"Anaheim city, CA","344,561"
"Howard County, MD","339,668"
"Islip town, NY","339,170"
"Henrico County, VA","338,696"
"Greater Bridgeport Planning Region, CT","335,666"
"St. Johns County, FL","334,928"
"Orlando city, FL","334,854"
"Lancaster County, NE","332,857"
"Luzerne County, PA","331,379"
"Escambia County, FL","331,275"
"Fayette County, KY","329,437"
"Lexington-Fayette urban county, KY","329,437"
"Stockton city, CA","324,975"
"Riverside city, CA","323,757"
"Northampton County, PA","322,989"
"Rockingham County, NH","322,433"
"Albany County, NY","319,964"
"Irvine city, CA","318,683"
"Corpus Christi city, TX","317,317"
"Newark city, NJ","317,303"
"Santa Ana city, CA","316,184"
"Cincinnati city, OH","314,915"
"Cumberland County, ME","313,809"
"Lexington County, SC","313,774"
"Gloucester County, NJ","311,783"
"Pittsburgh city, PA","307,668"
"St. Paul city, MN","307,465"
"Greensboro city, NC","307,381"
"Wayne County, MI","307,206"
"Ottawa County, MI","306,235"
"Cleveland County, OK","303,952"
"York County, SC","303,001"
"Thurston County, WA","302,912"
"Jersey City city, NJ","302,824"
"Durham city, NC","301,870"
"Lincoln city, NE","300,619"
"Dutchess County, NY","299,963"
"San Bernardino County, CA","299,736"
"Oyster Bay town, NY","299,540"
"Frederick County, MD","299,317"
"Clayton County, GA","297,703"
"North Las Vegas city, NV","294,034"
"Cherokee County, GA","293,513"
"Plano city, TX","293,286"
"Dauphin County, PA","293,029"
"Hays County, TX","292,029"
"Alachua County, FL","291,782"
"Ingham County, MI","290,427"
"Anchorage municipality, AK","289,600"
"Gilbert town, AZ","288,790"
"Madison city, WI","285,300"
"WA County Minnes, ta","283,960"
"Southeastern CT Planning Region, CT","282,602"
"San Luis Obispo County, CA","281,843"
"Reno city, NV","281,714"
"Kitsap County, WA","281,420"
"Chandler city, AZ","281,231"
"Forsyth County, GA","280,096"
"St. Louis city, MO","279,695"
"Buncombe County, NC","279,210"
"Atlantic County, NJ","279,114"
"Chula Vista city, CA","278,546"
"St. Tammany Parish, LA","277,615"
"Travis County, TX","276,733"
"Buffalo city, NY","276,617"
"Weber County, UT","276,118"
"Cumberland County, PA","275,516"
"St. Joseph County, IN","273,744"
